Agency,Service
"Administrative Trials And Hearings, Office of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Administrative Trials And Hearings, Office of",SERVICE DESK
"Administrative Trials And Hearings, Office of",PRIMARY DATA CENTER
"Administrative Trials And Hearings, Office of",EMAIL
"Administrative Trials And Hearings, Office of",PROVISIONING
"Administrative Trials And Hearings, Office of",MAINFRAME
"Administrative Trials And Hearings, Office of",LYNC 2013
"Administrative Trials And Hearings, Office of",SECURE FILE TRANSFER 
"Administrative Trials And Hearings, Office of",SITE B (STERLING FOREST) MAINFRAME
"Administrative Trials And Hearings, Office of",CABLE INFRASTRUCTURE
"Administrative Trials And Hearings, Office of",CITYNET
"Administrative Trials And Hearings, Office of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Administrative Trials And Hearings, Office of",NEW YORK WIRELESS NETWORK (NYCWIN)
"Administrative Trials And Hearings, Office of",SECURE WIRELESS (LAN) SERVICES
"Administrative Trials And Hearings, Office of",ADVISORY SERVICES 
"Administrative Trials And Hearings, Office of",ADOBE ETLA
"Administrative Trials And Hearings, Office of",VMWARE ELA
"Administrative Trials And Hearings, Office of",MICROSOFT ELA
"Administrative Trials And Hearings, Office of",CONTACT CENTER SOLUTIONS
"Administrative Trials And Hearings, Office of",MOBILE DEVICES AND SERVICES
"Administrative Trials And Hearings, Office of",TELECOMM CONTRACT
"Administrative Trials And Hearings, Office of",TWO-WAY RADIO COMMUNICATION
"Administrative Trials And Hearings, Office of",VoIP
"Administrative Trials And Hearings, Office of",FUNCTIONAL TESTING
"Administrative Trials And Hearings, Office of",PERFORMANCE TEST
"Aging, Department for the",BUSINESS APPLICATION DEVELOPMENT 
"Aging, Department for the",BUSINESS-AS-USUAL (ANALYTICS)
"Aging, Department for the",MAPPING/LOCATION SERVICES
"Aging, Department for the",SOLUTION DEVELOPMENT (ANALYTICS)
"Aging, Department for the",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Aging, Department for the",NYC.GOV
"Aging, Department for the",IDENTITY MANAGEMENT 
"Aging, Department for the",PASSWORD SELF-SERVICE
"Aging, Department for the",SITE-TO-SITE VPN
"Aging, Department for the",SOFTWARE SECURITY ASSURANCE
"Aging, Department for the",SSL REMOTE ACCESS
"Aging, Department for the",CISCO MAINTENANCE CONTRACT
"Aging, Department for the",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Aging, Department for the",PRIMARY DATA CENTER
"Aging, Department for the",EMAIL
"Aging, Department for the",PROVISIONING
"Aging, Department for the",SECURE FILE TRANSFER 
"Aging, Department for the",CABLE INFRASTRUCTURE
"Aging, Department for the",CITYNET
"Aging, Department for the",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Aging, Department for the",ADVISORY SERVICES 
"Aging, Department for the",ADOBE ETLA
"Aging, Department for the",VMWARE ELA
"Aging, Department for the",MICROSOFT ELA
"Aging, Department for the",MOBILE DEVICES AND SERVICES
"Aging, Department for the",TELECOMM CONTRACT
"Aging, Department for the",VoIP
"Aging, Department for the",PERFORMANCE TEST
"Buildings, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Buildings, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Buildings, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Buildings, Department of",MAPPING/LOCATION SERVICES
"Buildings, Department of",MOBILE DEVELOPMENT 
"Buildings, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Buildings, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Buildings, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Buildings, Department of",NYC.GOV
"Buildings, Department of",AUTOMATIC USER DE-PROVISIONING
"Buildings, Department of",IDENTITY MANAGEMENT 
"Buildings, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Buildings, Department of",PASSWORD SELF-SERVICE
"Buildings, Department of",SITE-TO-SITE VPN
"Buildings, Department of",SOFTWARE SECURITY ASSURANCE
"Buildings, Department of",SSL REMOTE ACCESS
"Buildings, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Buildings, Department of",CISCO MAINTENANCE CONTRACT
"Buildings, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Buildings, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Buildings, Department of",QUALITY CONTROL SERVICES (QC)
"Buildings, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Buildings, Department of",DATA EXCHANGE
"Buildings, Department of",APPLICATION SUPPORT
"Buildings, Department of",SERVICE DESK
"Buildings, Department of",PRIMARY DATA CENTER
"Buildings, Department of",EMAIL
"Buildings, Department of",PROVISIONING
"Buildings, Department of",SELF-PROVISIONING
"Buildings, Department of",MAINFRAME
"Buildings, Department of",SECURE FILE TRANSFER 
"Buildings, Department of",SITE B (STERLING FOREST) MAINFRAME
"Buildings, Department of",WORKSHOPS
"Buildings, Department of",CABLE INFRASTRUCTURE
"Buildings, Department of",CITYNET
"Buildings, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Buildings, Department of",ADVISORY SERVICES 
"Buildings, Department of",VMWARE ELA
"Buildings, Department of",MICROSOFT ELA
"Buildings, Department of",CONTACT CENTER SOLUTIONS
"Buildings, Department of",MOBILE DEVICES AND SERVICES
"Buildings, Department of",TELECOMM CONTRACT
"Buildings, Department of",VoIP
"Buildings, Department of",PERFORMANCE TEST
"Buildings, Department of",QUALITY ASSURANCE SUPPORT 
Business Integrity Commission,APPLICATION AUTHENTICATION AND AUTHORIZATION
Business Integrity Commission,BUSINESS APPLICATION DEVELOPMENT 
Business Integrity Commission,WEBSITE DESIGN BUILD AND MAINTENANCE  
Business Integrity Commission,NYC.GOV
Business Integrity Commission,WEB SINGLE SIGN-ON
Business Integrity Commission,NYC.ID/IDENTITY MANAGEMENT 
Business Integrity Commission,PASSWORD SELF-SERVICE
Business Integrity Commission,SITE-TO-SITE VPN
Business Integrity Commission,SOFTWARE SECURITY ASSURANCE
Business Integrity Commission,SSL REMOTE ACCESS
Business Integrity Commission,CDWG - IT GOODS AND RELATED SERVICES 
Business Integrity Commission,CISCO MAINTENANCE CONTRACT
Business Integrity Commission,INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
Business Integrity Commission,SYSTEMS INTEGRATION SERVICES (SI)
Business Integrity Commission,PRIMARY DATA CENTER
Business Integrity Commission,EMAIL
Business Integrity Commission,MAINFRAME
Business Integrity Commission,SECURE FILE TRANSFER 
Business Integrity Commission,"SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)"
Business Integrity Commission,SITE B (STERLING FOREST) MAINFRAME
Business Integrity Commission,CABLE INFRASTRUCTURE
Business Integrity Commission,CITYNET
Business Integrity Commission,DATA CONNECTIVITY (CIRCUIT ORDERS)
Business Integrity Commission,CLOUD REVIEW
Business Integrity Commission,ADOBE ETLA
Business Integrity Commission,VMWARE ELA
Business Integrity Commission,MOBILE DEVICES AND SERVICES
Business Integrity Commission,VoIP
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",BUSINESS APPLICATION DEVELOPMENT 
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",NYC.GOV
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",WEB SINGLE SIGN-ON
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SITE-TO-SITE VPN
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SOFTWARE SECURITY ASSURANCE
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SSL REMOTE ACCESS
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SERVICE DESK
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",EMAIL
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",PROVISIONING
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SELF-PROVISIONING
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",LYNC 2013
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SECURE FILE TRANSFER 
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",SHAREPOINT
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",WORKSHOPS
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",CABLE INFRASTRUCTURE
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",CITYNET
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",ADVISORY SERVICES 
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",ADOBE ETLA
"Chief Medical Examiner, Office of the 
(Institute of Forensic Sciences)",MOBILE DEVICES AND SERVICES
"Children's Services, Administration for",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Children's Services, Administration for",BUSINESS APPLICATION DEVELOPMENT 
"Children's Services, Administration for",BUSINESS-AS-USUAL (ANALYTICS)
"Children's Services, Administration for",MAPPING/LOCATION SERVICES
"Children's Services, Administration for",PROJECT MANAGEMENT 
"Children's Services, Administration for",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Children's Services, Administration for",SOLUTION DEVELOPMENT (ANALYTICS)
"Children's Services, Administration for",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Children's Services, Administration for",NYC.GOV
"Children's Services, Administration for",WEB SINGLE SIGN-ON
"Children's Services, Administration for",AUTOMATIC USER DE-PROVISIONING
"Children's Services, Administration for",IDENTITY MANAGEMENT 
"Children's Services, Administration for",NYC.ID/IDENTITY MANAGEMENT 
"Children's Services, Administration for",PASSWORD SELF-SERVICE
"Children's Services, Administration for",SITE-TO-SITE VPN
"Children's Services, Administration for",SOFTWARE SECURITY ASSURANCE
"Children's Services, Administration for",SSL REMOTE ACCESS
"Children's Services, Administration for",CDWG - IT GOODS AND RELATED SERVICES 
"Children's Services, Administration for",CISCO MAINTENANCE CONTRACT
"Children's Services, Administration for",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Children's Services, Administration for",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Children's Services, Administration for",QUALITY CONTROL SERVICES (QC)
"Children's Services, Administration for",SYSTEMS INTEGRATION SERVICES (SI)
"Children's Services, Administration for",DATA EXCHANGE
"Children's Services, Administration for",APPLICATION SUPPORT
"Children's Services, Administration for",EMAIL
"Children's Services, Administration for",PROVISIONING
"Children's Services, Administration for",SELF-PROVISIONING
"Children's Services, Administration for",MAINFRAME
"Children's Services, Administration for",LYNC 2013
"Children's Services, Administration for",SECURE FILE TRANSFER 
"Children's Services, Administration for",SHAREPOINT
"Children's Services, Administration for",SITE B (STERLING FOREST) MAINFRAME
"Children's Services, Administration for",WORKSHOPS
"Children's Services, Administration for",CABLE INFRASTRUCTURE
"Children's Services, Administration for",CITYNET
"Children's Services, Administration for",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Children's Services, Administration for",ADVISORY SERVICES 
"Children's Services, Administration for",CLOUD REVIEW
"Children's Services, Administration for",ADOBE ETLA
"Children's Services, Administration for",VMWARE ELA
"Children's Services, Administration for",MICROSOFT ELA
"Children's Services, Administration for",MOBILE DEVICES AND SERVICES
"Children's Services, Administration for",TELECOMM CONTRACT
"Children's Services, Administration for",VIDEO CONFERENCING SOLUTIONS
"Children's Services, Administration for",VoIP
"Children's Services, Administration for",FUNCTIONAL TESTING
"Children's Services, Administration for",PERFORMANCE TEST
"City Planning, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"City Planning, Department of",BUSINESS APPLICATION DEVELOPMENT 
"City Planning, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"City Planning, Department of",HUMAN CENTERED DESIGN
"City Planning, Department of",MAPPING/LOCATION SERVICES
"City Planning, Department of",PROJECT MANAGEMENT 
"City Planning, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"City Planning, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"City Planning, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"City Planning, Department of",NYC.GOV
"City Planning, Department of",WEB SINGLE SIGN-ON
"City Planning, Department of",IDENTITY MANAGEMENT 
"City Planning, Department of",NYC.ID/IDENTITY MANAGEMENT 
"City Planning, Department of",PASSWORD SELF-SERVICE
"City Planning, Department of",SITE-TO-SITE VPN
"City Planning, Department of",SOFTWARE SECURITY ASSURANCE
"City Planning, Department of",SSL REMOTE ACCESS
"City Planning, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"City Planning, Department of",CISCO MAINTENANCE CONTRACT
"City Planning, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"City Planning, Department of",APPLICATION SUPPORT
"City Planning, Department of",PRIMARY DATA CENTER
"City Planning, Department of",EMAIL
"City Planning, Department of",PROVISIONING
"City Planning, Department of",SELF-PROVISIONING
"City Planning, Department of",MAINFRAME
"City Planning, Department of",LYNC 2013
"City Planning, Department of",SECURE FILE TRANSFER 
"City Planning, Department of",SHAREPOINT
"City Planning, Department of",SITE B (STERLING FOREST) MAINFRAME
"City Planning, Department of",WORKSHOPS
"City Planning, Department of",CABLE INFRASTRUCTURE
"City Planning, Department of",CITYNET
"City Planning, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"City Planning, Department of",ADVISORY SERVICES 
"City Planning, Department of",ADOBE ETLA
"City Planning, Department of",VMWARE ELA
"City Planning, Department of",MICROSOFT ELA
"City Planning, Department of",MOBILE DEVICES AND SERVICES
"City Planning, Department of",VoIP
"City Planning, Department of",FUNCTIONAL TESTING
"City Planning, Department of",PERFORMANCE TEST
"City Planning, Department of",QUALITY ASSURANCE SUPPORT 
"Citywide Administrative Services, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Citywide Administrative Services, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Citywide Administrative Services, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Citywide Administrative Services, Department of",PROJECT MANAGEMENT 
"Citywide Administrative Services, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Citywide Administrative Services, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Citywide Administrative Services, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Citywide Administrative Services, Department of",NYC.GOV
"Citywide Administrative Services, Department of",WEB SINGLE SIGN-ON
"Citywide Administrative Services, Department of",IDENTITY MANAGEMENT 
"Citywide Administrative Services, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Citywide Administrative Services, Department of",PASSWORD SELF-SERVICE
"Citywide Administrative Services, Department of",SITE-TO-SITE VPN
"Citywide Administrative Services, Department of",SOFTWARE SECURITY ASSURANCE
"Citywide Administrative Services, Department of",SSL REMOTE ACCESS
"Citywide Administrative Services, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Citywide Administrative Services, Department of",CISCO MAINTENANCE CONTRACT
"Citywide Administrative Services, Department of",GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS)
"Citywide Administrative Services, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Citywide Administrative Services, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Citywide Administrative Services, Department of",APPLICATION SUPPORT
"Citywide Administrative Services, Department of",SERVICE DESK
"Citywide Administrative Services, Department of",EMAIL
"Citywide Administrative Services, Department of",PROVISIONING
"Citywide Administrative Services, Department of",SELF-PROVISIONING
"Citywide Administrative Services, Department of",MAINFRAME
"Citywide Administrative Services, Department of",LYNC 2013
"Citywide Administrative Services, Department of",SECURE FILE TRANSFER 
"Citywide Administrative Services, Department of",SHAREPOINT
"Citywide Administrative Services, Department of",SITEB SERVICES
"Citywide Administrative Services, Department of",SITE B (STERLING FOREST) MAINFRAME
"Citywide Administrative Services, Department of",WORKSHOPS
"Citywide Administrative Services, Department of",CABLE INFRASTRUCTURE
"Citywide Administrative Services, Department of",CITYNET
"Citywide Administrative Services, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Citywide Administrative Services, Department of",ADVISORY SERVICES 
"Citywide Administrative Services, Department of",CLOUD REVIEW
"Citywide Administrative Services, Department of",USER EXPERIENCE DESIGN
"Citywide Administrative Services, Department of",ADOBE ETLA
"Citywide Administrative Services, Department of",VMWARE ELA
"Citywide Administrative Services, Department of",MICROSOFT ELA
"Citywide Administrative Services, Department of",MOBILE DEVICES AND SERVICES
"Citywide Administrative Services, Department of",VoIP
"Citywide Administrative Services, Department of",PERFORMANCE TEST
"Consumer Affairs, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Consumer Affairs, Department of",BUSINESS ANALYSIS
"Consumer Affairs, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Consumer Affairs, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Consumer Affairs, Department of",MAPPING/LOCATION SERVICES
"Consumer Affairs, Department of",PROJECT MANAGEMENT 
"Consumer Affairs, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Consumer Affairs, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Consumer Affairs, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Consumer Affairs, Department of",NYC.GOV
"Consumer Affairs, Department of",WEB SINGLE SIGN-ON
"Consumer Affairs, Department of",IDENTITY MANAGEMENT 
"Consumer Affairs, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Consumer Affairs, Department of",PASSWORD SELF-SERVICE
"Consumer Affairs, Department of",SITE-TO-SITE VPN
"Consumer Affairs, Department of",SOFTWARE SECURITY ASSURANCE
"Consumer Affairs, Department of",SSL REMOTE ACCESS
"Consumer Affairs, Department of",CISCO MAINTENANCE CONTRACT
"Consumer Affairs, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Consumer Affairs, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Consumer Affairs, Department of",DATA EXCHANGE
"Consumer Affairs, Department of",APPLICATION SUPPORT
"Consumer Affairs, Department of",PRIMARY DATA CENTER
"Consumer Affairs, Department of",EMAIL
"Consumer Affairs, Department of",PROVISIONING
"Consumer Affairs, Department of",SELF-PROVISIONING
"Consumer Affairs, Department of",MAINFRAME
"Consumer Affairs, Department of",LYNC 2013
"Consumer Affairs, Department of",SECURE FILE TRANSFER 
"Consumer Affairs, Department of",SHAREPOINT
"Consumer Affairs, Department of",SITE B (STERLING FOREST) MAINFRAME
"Consumer Affairs, Department of",CABLE INFRASTRUCTURE
"Consumer Affairs, Department of",CITYNET
"Consumer Affairs, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Consumer Affairs, Department of",CLOUD REVIEW
"Consumer Affairs, Department of",ADOBE ETLA
"Consumer Affairs, Department of",VMWARE ELA
"Consumer Affairs, Department of",MICROSOFT ELA
"Consumer Affairs, Department of",CONTACT CENTER SOLUTIONS
"Consumer Affairs, Department of",MOBILE DEVICES AND SERVICES
"Consumer Affairs, Department of",VIDEO CONFERENCING SOLUTIONS
"Consumer Affairs, Department of",VoIP
"Consumer Affairs, Department of",FUNCTIONAL TESTING
"Consumer Affairs, Department of",PERFORMANCE TEST
"Consumer Affairs, Department of",QUALITY ASSURANCE SUPPORT 
"Correction, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Correction, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Correction, Department of",PROJECT MANAGEMENT 
"Correction, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Correction, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Correction, Department of",NYC.GOV
"Correction, Department of",IDENTITY MANAGEMENT 
"Correction, Department of",PASSWORD SELF-SERVICE
"Correction, Department of",SITE-TO-SITE VPN
"Correction, Department of",SOFTWARE SECURITY ASSURANCE
"Correction, Department of",SSL REMOTE ACCESS
"Correction, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Correction, Department of",CISCO MAINTENANCE CONTRACT
"Correction, Department of",CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS
"Correction, Department of",INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4)
"Correction, Department of",QUALITY CONTROL SERVICES (QC)
"Correction, Department of",SYSTEMS INTEGRATION SERVICES (SI)
"Correction, Department of",DATA EXCHANGE
"Correction, Department of",EMAIL
"Correction, Department of",PROVISIONING
"Correction, Department of",LYNC 2013
"Correction, Department of",SECURE FILE TRANSFER 
"Correction, Department of",SITE B (STERLING FOREST) MAINFRAME
"Correction, Department of",CABLE INFRASTRUCTURE
"Correction, Department of",CITYNET
"Correction, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Correction, Department of",ADVISORY SERVICES 
"Correction, Department of",CLOUD REVIEW
"Correction, Department of",ADOBE ETLA
"Correction, Department of",VMWARE ELA
"Correction, Department of",MICROSOFT ELA
"Correction, Department of",MOBILE DEVICES AND SERVICES
"Correction, Department of",TELECOMM CONTRACT
"Correction, Department of",FUNCTIONAL TESTING
"Correction, Department of",PERFORMANCE TEST
"Cultural Affairs, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Cultural Affairs, Department of",BUSINESS ANALYSIS
"Cultural Affairs, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Cultural Affairs, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Cultural Affairs, Department of",HUMAN CENTERED DESIGN
"Cultural Affairs, Department of",PROJECT MANAGEMENT 
"Cultural Affairs, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Cultural Affairs, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Cultural Affairs, Department of",SOLUTION DEVELOPMENT (CRM)
"Cultural Affairs, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Cultural Affairs, Department of",NYC.GOV
"Cultural Affairs, Department of",WEB SINGLE SIGN-ON
"Cultural Affairs, Department of",IDENTITY MANAGEMENT 
"Cultural Affairs, Department of",NYC.ID/IDENTITY MANAGEMENT 
"Cultural Affairs, Department of",PASSWORD SELF-SERVICE
"Cultural Affairs, Department of",SITE-TO-SITE VPN
"Cultural Affairs, Department of",SOFTWARE SECURITY ASSURANCE
"Cultural Affairs, Department of",SSL REMOTE ACCESS
"Cultural Affairs, Department of",CDWG - IT GOODS AND RELATED SERVICES 
"Cultural Affairs, Department of",CISCO MAINTENANCE CONTRACT
"Cultural Affairs, Department of",APPLICATION SUPPORT
"Cultural Affairs, Department of",PRIMARY DATA CENTER
"Cultural Affairs, Department of",EMAIL
"Cultural Affairs, Department of",PROVISIONING
"Cultural Affairs, Department of",SELF-PROVISIONING
"Cultural Affairs, Department of",SHAREPOINT
"Cultural Affairs, Department of",CABLE INFRASTRUCTURE
"Cultural Affairs, Department of",CITYNET
"Cultural Affairs, Department of",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Cultural Affairs, Department of",ADVISORY SERVICES 
"Cultural Affairs, Department of",USER EXPERIENCE DESIGN
"Cultural Affairs, Department of",ADOBE ETLA
"Cultural Affairs, Department of",MICROSOFT ELA
"Cultural Affairs, Department of",MOBILE DEVICES AND SERVICES
"Cultural Affairs, Department of",TELECOMM CONTRACT
"Cultural Affairs, Department of",FUNCTIONAL TESTING
"Cultural Affairs, Department of",PERFORMANCE TEST
"Design And Construction, Department of",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Design And Construction, Department of",BUSINESS ANALYSIS
"Design And Construction, Department of",BUSINESS APPLICATION DEVELOPMENT 
"Design And Construction, Department of",BUSINESS-AS-USUAL (ANALYTICS)
"Design And Construction, Department of",MAPPING/LOCATION SERVICES
"Design And Construction, Department of",PUBLIC ACCOUNT MANAGEMENT (NYC.ID) 
"Design And Construction, Department of",SOLUTION DEVELOPMENT (ANALYTICS)
"Design And Construction, Department of",WEBSITE DESIGN BUILD AND MAINTENANCE  
"Design And Construction, Department of",NYC.GOV
